Nom avec article;Code commune;Département;Code postal;Longitude;Latitude
L'Abergement-Clémenciat;1001;Ain;1400;4.92007112503;46.151676178
L'Abergement-de-Varey;1002;Ain;1640;5.4233574;46.0070996
Ambérieu-en-Bugey;1004;Ain;1504;5.35882997513;45.9578018188
Ambérieux-en-Dombes;1005;Ain;1330;4.9028423;45.9957877
Ambléon;1006;Ain;1300;5.6011955;45.7489053
Ambronay;1007;Ain;1500;5.36072;46.00739
Ambutrix;1008;Ain;1500;5.3376099;45.9378943
Andert-et-Condon;1009;Ain;1300;5.655488;45.794033
Anglefort;1010;Ain;1350;5.80891990662;45.9136009216
Apremont;1011;Ain;1100;5.658584;46.20748
Aranc;1012;Ain;1110;5.5087919;46.0013273
Arandas;1013;Ain;1230;5.485944;45.89675
Arbent;1014;Ain;1100;5.680257;46.2945869
Arboys en Bugey;1015;Ain;1300;5.65058994293;45.7286338806
Arbignieu;1015;;1300;5.65058994293;45.7286338806
Arbigny;1016;Ain;1190;4.972406;46.472409
Argis;1017;Ain;1230;5.49097490311;45.9337997437
Armix;1019;Ain;1510;5.585527;45.849748
Ars-sur-Formans;1021;Ain;1480;4.82132005692;45.993598938
Artemare;1022;Ain;1510;5.69463014603;45.8740997314
Asnières-sur-Saône;1023;Ain;1570;4.8789689;46.3837813
Attignat;1024;Ain;1340;5.1580958;46.289833
Bâgé-Dommartin;1025;Ain;1380;4.94617986679;46.3165016174
Bâgé-la-Ville;1025;;1380;4.94617986679;46.3165016174
Bâgé-le-Châtel;1026;Ain;1380;4.92790985107;46.3083992004
Balan;1027;Ain;1360;5.09675502777;45.8332328796
Baneins;1028;Ain;1990;4.9036521;46.1110678
Beaupont;1029;Ain;1270;5.26479;46.410423
Beauregard;1030;Ain;1480;4.75102190000007;46.0028332
Bellignat;1031;Ain;1100;5.62868022919;46.242099762
Béligneux;1032;Ain;1360;5.129235;45.851576
Valserhône;1033;Ain;1200;5.82614994049;46.1074981689
Bellegarde-sur-Valserine;1033;;1200;5.82614994049;46.1074981689
Belley;1034;Ain;1300;5.686261;45.760852
Belleydoux;1035;Ain;1130;5.777169;46.25313
Valromey-sur-Séran;1036;Ain;1260;5.65;45.883302
Belmont-Luthézieu;1036;;1260;5.65;45.883302
Bénonces;1037;Ain;1470;5.477293;45.82741
Bény;1038;Ain;1370;5.28437995911;46.2721061707
Béon;1039;;;;
Béréziat;1040;Ain;1340;5.045209;46.368515
Bettant;1041;Ain;1500;5.35293006897;45.9453010559
Bey;1042;Ain;1290;4.8458154;46.2200703
Beynost;1043;Ain;1704;5.001385;45.840253
Billiat;1044;Ain;1200;5.78403806686;46.0775527954
Birieux;1045;Ain;1330;5.038913;45.953186
Biziat;1046;Ain;1290;4.943722;46.216963
Blyes;1047;Ain;1150;5.249487;45.846051
La Boisse;1049;Ain;1120;5.032719;45.842492
Boissey;1050;Ain;1190;4.996962;46.3812
Bolozon;1051;Ain;1450;5.4735668;46.1925941
Bouligneux;1052;Ain;1330;4.991173;46.022285
Bourg-en-Bresse;1053;Ain;1000;5.22569990158;46.2049179077
Bourg-Saint-Christophe;1054;Ain;1800;5.1575419;45.8900369
Boyeux-Saint-Jérôme;1056;Ain;1640;5.4592351;46.030011
Boz;1057;Ain;1190;4.910416;46.407164
